,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-25 09:15:00+05:30,1345.0,1351.4000244140625,1335.0,1338.550048828125,252344,0.0,0
2019-06-25 10:15:00+05:30,1338.550048828125,1343.0999755859375,1333.0999755859375,1336.9000244140625,59959,0.0,0
2019-06-25 11:15:00+05:30,1336.9000244140625,1337.5999755859375,1325.800048828125,1327.6500244140625,151716,0.0,0
2019-06-25 12:15:00+05:30,1327.75,1327.800048828125,1310.050048828125,1322.199951171875,215261,0.0,0
2019-06-25 13:15:00+05:30,1324.0,1328.949951171875,1310.0,1316.300048828125,187614,0.0,0
2019-06-25 14:15:00+05:30,1316.199951171875,1327.949951171875,1311.0,1323.0,203361,0.0,0
2019-06-25 15:15:00+05:30,1322.300048828125,1330.0,1321.050048828125,1324.8499755859375,0,0.0,0
2019-06-26 09:15:00+05:30,1320.0999755859375,1325.050048828125,1304.0,1309.75,162007,0.0,0
2019-06-26 10:15:00+05:30,1309.75,1317.949951171875,1301.050048828125,1308.6500244140625,163809,0.0,0
2019-06-26 11:15:00+05:30,1309.25,1312.5,1307.0999755859375,1308.6500244140625,34566,0.0,0
2019-06-26 12:15:00+05:30,1309.0,1311.550048828125,1304.0,1305.5,55380,0.0,0
2019-06-26 13:15:00+05:30,1305.5,1309.9000244140625,1304.5999755859375,1307.699951171875,21877,0.0,0
2019-06-26 14:15:00+05:30,1307.5999755859375,1311.1500244140625,1306.0,1308.0,121947,0.0,0
2019-06-26 15:15:00+05:30,1307.300048828125,1309.0,1305.0,1306.0,37764,0.0,0
2019-06-27 09:15:00+05:30,1310.550048828125,1314.449951171875,1293.25,1299.0,169254,0.0,0
2019-06-27 10:15:00+05:30,1299.0,1311.449951171875,1297.5,1308.75,69341,0.0,0
2019-06-27 11:15:00+05:30,1308.199951171875,1322.949951171875,1307.949951171875,1316.0,128098,0.0,0
2019-06-27 12:15:00+05:30,1316.4000244140625,1319.9000244140625,1313.5,1314.5,45690,0.0,0
2019-06-27 13:15:00+05:30,1314.5,1315.4000244140625,1307.699951171875,1311.4000244140625,113869,0.0,0
2019-06-27 14:15:00+05:30,1311.5,1317.0999755859375,1310.0,1312.5999755859375,101317,0.0,0
2019-06-27 15:15:00+05:30,1313.449951171875,1315.9000244140625,1310.0,1312.449951171875,60542,0.0,0
2019-06-28 09:15:00+05:30,1319.300048828125,1345.0,0.0,1341.75,629397,0.0,0
2019-06-28 10:15:00+05:30,1338.5999755859375,1361.800048828125,1336.0,1354.9000244140625,737958,0.0,0
2019-06-28 11:15:00+05:30,1353.300048828125,1364.0,1352.0,1357.300048828125,311224,0.0,0
2019-06-28 12:15:00+05:30,1359.0999755859375,1369.4000244140625,1355.4000244140625,1367.0,294098,0.0,0
