,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-25 09:15:00+05:30,781.6500244140625,781.6500244140625,767.0,773.7999877929688,248971,0.0,0
2019-06-25 10:15:00+05:30,773.75,779.9500122070312,772.7000122070312,776.2000122070312,103990,0.0,0
2019-06-25 11:15:00+05:30,776.2000122070312,778.7000122070312,775.0499877929688,776.5999755859375,184543,0.0,0
2019-06-25 12:15:00+05:30,776.2000122070312,778.5499877929688,776.0999755859375,776.9000244140625,33364,0.0,0
2019-06-25 13:15:00+05:30,776.8499755859375,784.3499755859375,776.75,780.0,114814,0.0,0
2019-06-25 14:15:00+05:30,779.9000244140625,783.5,778.6500244140625,783.5,79441,0.0,0
2019-06-25 15:15:00+05:30,783.5,786.25,782.0,783.9500122070312,79967,0.0,0
2019-06-26 09:15:00+05:30,782.7999877929688,789.2999877929688,778.5999755859375,785.2000122070312,113962,0.0,0
2019-06-26 10:15:00+05:30,785.5499877929688,794.25,784.3499755859375,793.3499755859375,183740,0.0,0
2019-06-26 11:15:00+05:30,793.3499755859375,795.9000244140625,791.6500244140625,793.4000244140625,144701,0.0,0
2019-06-26 12:15:00+05:30,793.0,794.5,791.0,792.5,89623,0.0,0
2019-06-26 13:15:00+05:30,792.1500244140625,793.75,786.2999877929688,788.2000122070312,174852,0.0,0
2019-06-26 14:15:00+05:30,788.5,792.0,787.0499877929688,787.75,122694,0.0,0
2019-06-26 15:15:00+05:30,787.5499877929688,791.5,786.2999877929688,788.1500244140625,64721,0.0,0
2019-06-27 09:15:00+05:30,792.0,795.0,784.0499877929688,787.0,233386,0.0,0
2019-06-27 10:15:00+05:30,787.2000122070312,790.8499755859375,786.5,789.6500244140625,95269,0.0,0
2019-06-27 11:15:00+05:30,789.5999755859375,790.75,786.0499877929688,786.2000122070312,142866,0.0,0
2019-06-27 12:15:00+05:30,786.2000122070312,789.9000244140625,785.6500244140625,786.75,121604,0.0,0
2019-06-27 13:15:00+05:30,787.0,787.9500122070312,786.6500244140625,787.2999877929688,87251,0.0,0
2019-06-27 14:15:00+05:30,787.25,795.0,787.0,793.9500122070312,433834,0.0,0
2019-06-27 15:15:00+05:30,793.9500122070312,797.0,793.5999755859375,794.4000244140625,163105,0.0,0
2019-06-28 09:15:00+05:30,795.0,806.7999877929688,794.8499755859375,801.0,686373,0.0,0
2019-06-28 10:15:00+05:30,801.0,801.4500122070312,788.0499877929688,788.6500244140625,362731,0.0,0
2019-06-28 11:15:00+05:30,788.6500244140625,792.0,786.5499877929688,788.5,374439,0.0,0
2019-06-28 12:15:00+05:30,788.3499755859375,791.9000244140625,788.0499877929688,789.25,104312,0.0,0
2019-06-28 13:15:00+05:30,789.4000244140625,790.3499755859375,788.3499755859375,789.2000122070312,117359,0.0,0
2019-06-28 14:15:00+05:30,789.2000122070312,790.9000244140625,785.1500244140625,787.5499877929688,280486,0.0,0
2019-06-28 15:15:00+05:30,787.5999755859375,788.0,782.6500244140625,783.8499755859375,129838,0.0,0
2019-07-01 09:15:00+05:30,790.2999877929688,792.5499877929688,783.4000244140625,789.5499877929688,196650,0.0,0
2019-07-01 10:15:00+05:30,789.5499877929688,790.6500244140625,786.8499755859375,790.5499877929688,70207,0.0,0
2019-07-01 11:15:00+05:30,790.0499877929688,795.0,790.0,793.9000244140625,87294,0.0,0
2019-07-01 12:15:00+05:30,793.9000244140625,797.5,792.5,796.1500244140625,169588,0.0,0
2019-07-01 13:15:00+05:30,796.0999755859375,796.0999755859375,790.4500122070312,791.5999755859375,161454,0.0,0
