,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-25 09:15:00+05:30,743.5499877929688,744.7000122070312,737.2999877929688,740.9500122070312,826580,0.0,0
2019-06-25 10:15:00+05:30,740.9000244140625,743.7999877929688,740.0,741.5999755859375,504538,0.0,0
2019-06-25 11:15:00+05:30,741.9000244140625,745.5,741.7000122070312,745.1500244140625,451154,0.0,0
2019-06-25 12:15:00+05:30,745.1500244140625,745.5,743.0999755859375,745.5,338798,0.0,0
2019-06-25 13:15:00+05:30,745.4500122070312,748.4000244140625,744.7000122070312,747.9000244140625,555664,0.0,0
2019-06-25 14:15:00+05:30,747.9000244140625,750.9000244140625,745.2999877929688,747.5499877929688,743790,0.0,0
2019-06-25 15:15:00+05:30,747.4500122070312,748.0999755859375,745.0,748.0999755859375,253460,0.0,0
2019-06-26 09:15:00+05:30,743.1500244140625,751.3499755859375,742.5499877929688,748.2999877929688,1265246,0.0,0
2019-06-26 10:15:00+05:30,748.3499755859375,748.8499755859375,745.1500244140625,746.5499877929688,452822,0.0,0
2019-06-26 11:15:00+05:30,746.2999877929688,746.5499877929688,743.0499877929688,743.4000244140625,605893,0.0,0
2019-06-26 12:15:00+05:30,743.4000244140625,743.6500244140625,741.5999755859375,742.7999877929688,775713,0.0,0
2019-06-26 13:15:00+05:30,742.5,743.5,740.0999755859375,740.9500122070312,668757,0.0,0
2019-06-26 14:15:00+05:30,741.0999755859375,743.2000122070312,738.3499755859375,738.9000244140625,1172845,0.0,0
2019-06-26 15:15:00+05:30,738.8499755859375,739.6500244140625,738.0,738.5,495879,0.0,0
2019-06-27 09:15:00+05:30,742.0,744.7000122070312,738.7999877929688,742.8499755859375,962666,0.0,0
2019-06-27 10:15:00+05:30,742.8499755859375,742.9000244140625,739.2999877929688,740.5999755859375,432131,0.0,0
2019-06-27 11:15:00+05:30,740.5999755859375,740.5999755859375,734.75,736.4500122070312,794885,0.0,0
2019-06-27 12:15:00+05:30,736.4000244140625,737.1500244140625,734.2000122070312,736.25,499723,0.0,0
2019-06-27 13:15:00+05:30,736.2999877929688,737.5499877929688,731.5499877929688,731.9500122070312,719752,0.0,0
2019-06-27 14:15:00+05:30,731.9000244140625,737.7000122070312,728.1500244140625,731.25,4321510,0.0,0
2019-06-27 15:15:00+05:30,731.25,732.0,728.75,731.7000122070312,3381965,0.0,0
2019-06-28 09:15:00+05:30,736.25,739.4000244140625,0.0,737.0,2126044,0.0,0
2019-06-28 10:15:00+05:30,735.8499755859375,737.3499755859375,732.1500244140625,732.3499755859375,1076602,0.0,0
2019-06-28 11:15:00+05:30,733.8499755859375,735.5,732.1500244140625,733.0,861835,0.0,0
2019-06-28 12:15:00+05:30,734.5,734.75,730.0499877929688,732.2000122070312,1404191,0.0,0
2019-06-28 13:15:00+05:30,731.9500122070312,732.8499755859375,728.5,730.6500244140625,1196096,0.0,0
2019-06-28 14:15:00+05:30,729.4000244140625,733.5499877929688,728.5,731.75,2364053,0.0,0
2019-06-28 15:15:00+05:30,731.7000122070312,732.7000122070312,730.0499877929688,731.7000122070312,919701,0.0,0
2019-07-01 09:15:00+05:30,733.5,737.5,0.0,734.4000244140625,1109068,0.0,0
2019-07-01 10:15:00+05:30,737.1500244140625,737.5,731.2000122070312,732.7000122070312,898900,0.0,0
2019-07-01 11:15:00+05:30,731.9000244140625,734.3499755859375,730.4000244140625,731.8499755859375,769204,0.0,0
2019-07-01 12:15:00+05:30,732.0499877929688,733.2000122070312,730.4000244140625,732.5499877929688,714176,0.0,0
2019-07-01 13:15:00+05:30,732.5999755859375,736.0,732.0999755859375,734.5,825457,0.0,0
2019-07-01 14:15:00+05:30,735.8499755859375,736.0,730.5,730.5499877929688,1083199,0.0,0
2019-07-01 15:15:00+05:30,730.5499877929688,733.5499877929688,729.8499755859375,731.2999877929688,0,0.0,0
2019-07-02 09:15:00+05:30,733.8499755859375,735.25,0.0,733.4500122070312,1226577,0.0,0
2019-07-02 10:15:00+05:30,733.6500244140625,734.3499755859375,730.75,731.6500244140625,1652484,0.0,0
2019-07-02 11:15:00+05:30,732.0,732.9500122070312,730.4500122070312,731.2999877929688,740550,0.0,0
2019-07-02 12:15:00+05:30,731.2000122070312,735.9000244140625,730.5,735.2000122070312,1023443,0.0,0
2019-07-02 13:15:00+05:30,733.5,738.7999877929688,733.0499877929688,736.5499877929688,1390067,0.0,0
2019-07-02 14:15:00+05:30,738.1500244140625,740.7000122070312,735.7999877929688,740.5,1388874,0.0,0
2019-07-02 15:15:00+05:30,740.4500122070312,741.5999755859375,739.0,739.2999877929688,393678,0.0,0
2019-07-03 09:15:00+05:30,740.8499755859375,743.2000122070312,0.0,742.0999755859375,1271817,0.0,0
2019-07-03 10:15:00+05:30,740.4500122070312,742.4500122070312,739.5,741.5499877929688,2493938,0.0,0
2019-07-03 11:15:00+05:30,740.75,742.4500122070312,735.5,735.5499877929688,1064749,0.0,0
2019-07-03 12:15:00+05:30,739.25,739.25,733.8499755859375,734.7999877929688,1296699,0.0,0
2019-07-03 13:15:00+05:30,734.75,735.2000122070312,733.0499877929688,734.75,1425642,0.0,0
2019-07-03 14:15:00+05:30,733.5999755859375,735.7999877929688,730.75,731.2999877929688,1971222,0.0,0
2019-07-03 15:15:00+05:30,731.4000244140625,732.1500244140625,730.0,731.75,546248,0.0,0
2019-07-04 09:15:00+05:30,729.7999877929688,736.2000122070312,0.0,731.5999755859375,801715,0.0,0
2019-07-04 10:15:00+05:30,732.75,735.7000122070312,731.4500122070312,734.0,801432,0.0,0
2019-07-04 11:15:00+05:30,735.0,735.0,731.0499877929688,731.75,689323,0.0,0
2019-07-04 12:15:00+05:30,732.0,732.9500122070312,731.25,732.4500122070312,498275,0.0,0
2019-07-04 13:15:00+05:30,732.5,734.6500244140625,731.4500122070312,733.1500244140625,780164,0.0,0
2019-07-04 14:15:00+05:30,733.7000122070312,735.6500244140625,733.1500244140625,734.9000244140625,1387736,0.0,0
2019-07-04 15:15:00+05:30,734.8499755859375,734.9000244140625,731.5,732.5,291923,0.0,0
2019-07-05 09:15:00+05:30,735.0,736.2999877929688,0.0,734.0499877929688,432107,0.0,0
2019-07-05 10:15:00+05:30,733.1500244140625,734.75,731.5,733.3499755859375,531972,0.0,0
2019-07-05 11:15:00+05:30,733.9000244140625,734.0,724.1500244140625,728.9500122070312,1254243,0.0,0
2019-07-05 12:15:00+05:30,725.9500122070312,731.5999755859375,724.1500244140625,727.0,1007747,0.0,0
2019-07-05 13:15:00+05:30,727.5999755859375,728.5499877929688,716.0999755859375,717.25,2234558,0.0,0
2019-07-05 14:15:00+05:30,719.1500244140625,720.0499877929688,713.5,718.5999755859375,2569993,0.0,0
2019-07-05 15:15:00+05:30,718.5999755859375,719.0,717.0999755859375,718.0,457135,0.0,0
2019-07-08 09:15:00+05:30,716.25,724.7000122070312,0.0,718.5499877929688,1696974,0.0,0
2019-07-08 10:15:00+05:30,718.75,721.2999877929688,715.5,717.0,2386782,0.0,0
2019-07-08 11:15:00+05:30,720.2000122070312,720.25,714.5,715.5999755859375,1581772,0.0,0
2019-07-08 12:15:00+05:30,717.5499877929688,717.7000122070312,712.2999877929688,713.4500122070312,2074300,0.0,0
2019-07-08 13:15:00+05:30,714.0499877929688,716.3499755859375,712.5999755859375,713.8499755859375,1407971,0.0,0
2019-07-08 14:15:00+05:30,713.7999877929688,719.2999877929688,712.5,718.3499755859375,2085579,0.0,0
2019-07-08 15:15:00+05:30,718.3499755859375,718.5,716.6500244140625,717.4500122070312,479682,0.0,0
2019-07-09 09:15:00+05:30,718.25,719.8499755859375,0.0,716.5499877929688,651648,0.0,0
2019-07-09 10:15:00+05:30,717.1500244140625,717.4500122070312,713.75,714.7000122070312,721242,0.0,0
2019-07-09 11:15:00+05:30,714.6500244140625,716.2999877929688,712.5999755859375,715.0,1098304,0.0,0
2019-07-09 12:15:00+05:30,714.7000122070312,716.2999877929688,709.1500244140625,712.5,1553954,0.0,0
2019-07-09 13:15:00+05:30,710.5,714.0,709.1500244140625,712.0,1132144,0.0,0
2019-07-09 14:15:00+05:30,713.3499755859375,716.5499877929688,710.4000244140625,716.3499755859375,2520913,0.0,0
2019-07-09 15:15:00+05:30,716.3499755859375,717.6500244140625,713.0,715.5,1792406,0.0,0
2019-07-10 09:15:00+05:30,708.1500244140625,722.5499877929688,0.0,718.4000244140625,2258953,0.0,0
2019-07-10 10:15:00+05:30,720.4500122070312,722.0,712.5499877929688,718.0,2144753,0.0,0
2019-07-10 11:15:00+05:30,714.2000122070312,720.75,714.2000122070312,718.5,1423558,0.0,0
2019-07-10 12:15:00+05:30,720.0999755859375,720.2000122070312,714.1500244140625,715.5999755859375,1728113,0.0,0
2019-07-10 13:15:00+05:30,714.6500244140625,718.0999755859375,713.3499755859375,714.0,1913585,0.0,0
2019-07-10 14:15:00+05:30,714.0499877929688,718.5,713.0,715.75,2036972,0.0,0
2019-07-10 15:15:00+05:30,715.75,718.5,715.1500244140625,717.25,1685900,0.0,0
2019-07-11 09:15:00+05:30,719.3499755859375,719.3499755859375,0.0,713.6500244140625,1535637,0.0,0
2019-07-11 10:15:00+05:30,712.7000122070312,717.8499755859375,712.4500122070312,717.2000122070312,1057007,0.0,0
2019-07-11 11:15:00+05:30,714.4500122070312,720.5,714.1500244140625,718.25,1538800,0.0,0
2019-07-11 12:15:00+05:30,719.0,719.2999877929688,715.0999755859375,715.7999877929688,621630,0.0,0
2019-07-11 13:15:00+05:30,716.9500122070312,717.25,714.25,716.5,2377274,0.0,0
2019-07-11 14:15:00+05:30,716.25,723.5,714.25,721.0499877929688,2932574,0.0,0
