,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-25 09:15:00+05:30,418.54998779296875,420.6000061035156,416.0,418.04998779296875,11498,0,0
2019-06-25 10:15:00+05:30,418.0,419.3500061035156,417.95001220703125,418.95001220703125,6838,0,0
2019-06-25 11:15:00+05:30,419.1499938964844,421.54998779296875,417.54998779296875,421.54998779296875,14895,0,0
2019-06-25 12:15:00+05:30,421.54998779296875,423.29998779296875,421.1000061035156,423.0,17706,0,0
2019-06-25 13:15:00+05:30,422.95001220703125,429.5,422.54998779296875,428.6499938964844,41437,0,0
2019-06-25 14:15:00+05:30,428.3500061035156,429.0,425.0,426.54998779296875,39007,0,0
2019-06-25 15:15:00+05:30,426.04998779296875,426.45001220703125,421.25,425.20001220703125,17115,0,0
2019-06-26 09:15:00+05:30,423.54998779296875,429.5,422.75,427.79998779296875,19299,0,0
2019-06-26 10:15:00+05:30,427.8999938964844,430.8999938964844,427.29998779296875,430.29998779296875,218307,0,0
2019-06-26 11:15:00+05:30,430.0,430.29998779296875,428.0,428.29998779296875,11583,0,0
2019-06-26 12:15:00+05:30,428.6499938964844,429.1000061035156,427.6499938964844,428.0,4758,0,0
2019-06-26 13:15:00+05:30,428.5,429.20001220703125,427.3999938964844,427.5,16221,0,0
2019-06-26 14:15:00+05:30,427.5,432.6000061035156,426.1499938964844,430.25,58087,0,0
2019-06-26 15:15:00+05:30,429.8999938964844,431.25,427.3999938964844,430.3999938964844,16333,0,0
2019-06-27 09:15:00+05:30,428.29998779296875,429.5,422.95001220703125,425.0,31306,0,0
2019-06-27 10:15:00+05:30,425.0,427.1000061035156,424.1499938964844,424.1499938964844,11991,0,0
2019-06-27 11:15:00+05:30,424.70001220703125,425.04998779296875,420.5,423.5,40061,0,0
2019-06-27 12:15:00+05:30,423.6000061035156,423.8500061035156,419.0,419.0,183998,0,0
2019-06-27 13:15:00+05:30,419.20001220703125,422.3500061035156,417.45001220703125,420.6499938964844,49473,0,0
2019-06-27 14:15:00+05:30,420.45001220703125,421.1499938964844,419.1499938964844,419.6499938964844,392479,0,0
2019-06-27 15:15:00+05:30,419.8999938964844,422.8500061035156,419.8999938964844,420.6499938964844,31642,0,0
2019-06-28 09:15:00+05:30,417.0,422.6499938964844,409.0,412.70001220703125,186569,0,0
2019-06-28 10:15:00+05:30,412.5,415.6000061035156,412.3999938964844,413.1000061035156,208027,0,0
2019-06-28 11:15:00+05:30,412.8999938964844,413.79998779296875,409.5,412.04998779296875,58816,0,0
2019-06-28 12:15:00+05:30,412.3500061035156,413.6000061035156,411.5,412.04998779296875,16912,0,0
2019-06-28 13:15:00+05:30,412.04998779296875,413.3500061035156,409.8500061035156,410.25,46958,0,0
2019-06-28 14:15:00+05:30,410.25,410.3999938964844,406.6499938964844,407.5,73656,0,0
2019-06-28 15:15:00+05:30,407.29998779296875,409.5,406.0,407.95001220703125,32844,0,0
2019-07-01 09:15:00+05:30,409.1499938964844,411.25,401.54998779296875,405.5,173121,0,0
2019-07-01 10:15:00+05:30,405.70001220703125,407.6499938964844,405.0,405.6499938964844,354581,0,0
2019-07-01 11:15:00+05:30,405.6499938964844,406.3999938964844,403.20001220703125,404.0,49104,0,0
2019-07-01 12:15:00+05:30,404.0,405.0,402.3500061035156,402.5,67873,0,0
2019-07-01 13:15:00+05:30,403.0,403.8999938964844,401.70001220703125,403.45001220703125,121993,0,0
2019-07-01 14:15:00+05:30,403.5,406.1499938964844,402.5,405.29998779296875,108255,0,0
2019-07-01 15:15:00+05:30,405.3999938964844,405.5,402.5,404.45001220703125,25318,0,0
2019-07-02 09:15:00+05:30,406.0,411.79998779296875,404.20001220703125,411.3999938964844,54442,0,0
2019-07-02 10:15:00+05:30,411.45001220703125,412.95001220703125,409.04998779296875,412.25,32063,0,0
2019-07-02 11:15:00+05:30,412.25,413.0,408.25,410.0,48252,0,0
2019-07-02 12:15:00+05:30,409.8999938964844,409.95001220703125,403.20001220703125,406.29998779296875,67579,0,0
2019-07-02 13:15:00+05:30,406.29998779296875,406.75,404.04998779296875,405.04998779296875,15299,0,0
2019-07-02 14:15:00+05:30,405.1000061035156,411.8999938964844,404.75,411.0,62884,0,0
2019-07-02 15:15:00+05:30,411.0,411.8999938964844,410.5,410.5,37355,0,0
2019-07-03 09:15:00+05:30,409.1000061035156,415.8500061035156,409.1000061035156,413.1000061035156,78761,0,0
2019-07-03 10:15:00+05:30,413.1499938964844,414.3500061035156,412.3500061035156,413.1499938964844,20166,0,0
2019-07-03 11:15:00+05:30,413.5,414.6499938964844,411.04998779296875,414.1499938964844,20825,0,0
2019-07-03 12:15:00+05:30,414.20001220703125,415.70001220703125,413.25,414.8999938964844,24777,0,0
2019-07-03 13:15:00+05:30,414.75,417.6499938964844,412.6000061035156,416.79998779296875,31522,0,0
2019-07-03 14:15:00+05:30,416.3500061035156,419.0,415.6000061035156,418.75,110605,0,0
2019-07-03 15:15:00+05:30,418.75,421.3999938964844,418.04998779296875,419.6000061035156,104748,0,0
2019-07-04 09:15:00+05:30,420.0,422.20001220703125,414.79998779296875,415.25,67865,0,0
2019-07-04 10:15:00+05:30,415.54998779296875,415.75,412.45001220703125,415.5,37491,0,0
2019-07-04 11:15:00+05:30,415.5,415.54998779296875,414.1000061035156,415.5,21014,0,0
2019-07-04 12:15:00+05:30,415.45001220703125,419.29998779296875,414.29998779296875,417.1499938964844,33086,0,0
2019-07-04 13:15:00+05:30,417.1000061035156,418.0,415.5,416.0,266722,0,0
2019-07-04 14:15:00+05:30,416.0,417.70001220703125,414.3999938964844,415.79998779296875,392167,0,0
2019-07-04 15:15:00+05:30,415.8999938964844,415.8999938964844,413.1000061035156,415.25,21630,0,0
2019-07-05 09:15:00+05:30,413.95001220703125,427.45001220703125,411.5,423.6000061035156,254481,0,0
2019-07-05 10:15:00+05:30,423.8999938964844,424.45001220703125,422.5,424.0,64728,0,0
2019-07-05 11:15:00+05:30,424.0,424.1499938964844,416.1499938964844,420.20001220703125,346751,0,0
2019-07-05 12:15:00+05:30,420.3500061035156,422.5,414.6000061035156,420.54998779296875,115832,0,0
2019-07-05 13:15:00+05:30,421.0,421.29998779296875,415.25,418.3500061035156,80802,0,0
2019-07-05 14:15:00+05:30,418.5,420.1000061035156,416.3999938964844,419.1499938964844,55238,0,0
2019-07-05 15:15:00+05:30,419.1499938964844,419.6000061035156,412.45001220703125,416.20001220703125,42089,0,0
2019-07-08 09:15:00+05:30,413.1000061035156,416.5,406.75,415.54998779296875,56788,0,0
2019-07-08 10:15:00+05:30,415.6000061035156,415.95001220703125,405.54998779296875,407.79998779296875,37649,0,0
2019-07-08 11:15:00+05:30,407.79998779296875,408.8500061035156,405.45001220703125,407.1499938964844,26416,0,0
2019-07-08 12:15:00+05:30,407.5,407.5,403.25,404.8999938964844,29587,0,0
2019-07-08 13:15:00+05:30,404.1499938964844,405.5,400.0,400.45001220703125,43780,0,0
2019-07-08 14:15:00+05:30,400.45001220703125,401.95001220703125,399.70001220703125,400.79998779296875,102879,0,0
2019-07-08 15:15:00+05:30,400.70001220703125,402.04998779296875,400.0,401.0,18405,0,0
2019-07-09 09:15:00+05:30,402.45001220703125,412.75,400.0,407.29998779296875,97412,0,0
2019-07-09 10:15:00+05:30,407.29998779296875,409.3500061035156,405.0,408.75,24292,0,0
2019-07-09 11:15:00+05:30,408.70001220703125,416.0,407.6000061035156,414.5,71718,0,0
2019-07-09 12:15:00+05:30,414.5,414.70001220703125,408.6000061035156,410.0,26326,0,0
2019-07-09 13:15:00+05:30,410.54998779296875,417.3500061035156,408.8500061035156,414.04998779296875,105511,0,0
2019-07-09 14:15:00+05:30,414.29998779296875,419.25,414.1499938964844,417.8500061035156,83015,0,0
2019-07-09 15:15:00+05:30,417.8999938964844,418.45001220703125,415.20001220703125,417.1499938964844,30160,0,0
2019-07-10 09:15:00+05:30,417.0,418.25,409.3999938964844,412.1000061035156,64523,0,0
2019-07-10 10:15:00+05:30,412.1000061035156,413.0,407.70001220703125,410.0,43496,0,0
2019-07-10 11:15:00+05:30,409.70001220703125,410.3999938964844,406.3999938964844,407.8500061035156,23589,0,0
2019-07-10 12:15:00+05:30,407.8500061035156,412.0,407.0,410.54998779296875,56363,0,0
2019-07-10 13:15:00+05:30,410.29998779296875,411.3999938964844,409.1499938964844,411.0,24489,0,0
2019-07-10 14:15:00+05:30,411.0,412.0,409.75,410.3999938964844,21517,0,0
2019-07-10 15:15:00+05:30,410.3999938964844,411.3999938964844,409.1499938964844,410.5,24170,0,0
2019-07-11 09:15:00+05:30,412.54998779296875,415.3999938964844,408.6499938964844,412.0,16000,0,0
2019-07-11 10:15:00+05:30,412.25,412.25,410.0,411.0,5186,0,0
2019-07-11 11:15:00+05:30,410.6499938964844,410.95001220703125,408.70001220703125,409.8999938964844,10133,0,0
2019-07-11 12:15:00+05:30,409.8999938964844,410.3500061035156,409.0,410.0,11318,0,0
2019-07-11 13:15:00+05:30,409.79998779296875,410.0,407.54998779296875,409.8500061035156,16599,0,0
2019-07-11 14:15:00+05:30,409.8999938964844,410.0,406.25,408.1000061035156,19763,0,0
2019-07-11 15:15:00+05:30,408.3500061035156,408.6499938964844,407.0,407.79998779296875,9437,0,0
2019-07-12 09:15:00+05:30,408.6499938964844,412.45001220703125,408.6499938964844,412.0,21749,0,0
